In	IN	O
May	NNP	O
and	CC	O
June	NNP	O
2017	CD	O
,	,	O
FireEye	NNP	O
observed	VBD	O
a	DT	O
phishing	NN	TECHNIQUE
campaign	NN	O
targeting	VBG	O
at	IN	O
least	JJS	O
seven	CD	O
global	JJ	O
law	NN	INDUSTRY
and	CC	INDUSTRY
investment	NN	INDUSTRY
firms	NNS	INDUSTRY
.	.	O
We	PRP	O
have	VBP	O
associated	VBN	O
this	DT	O
campaign	NN	O
with	IN	O
APT19	NNP	ACTOR
,	,	O
a	DT	O
group	NN	O
that	IN	O
we	PRP	O
assess	VBP	O
is	VBZ	O
composed	VBN	O
of	IN	O
freelancers	NNS	O
,	,	O
with	IN	O
some	DT	O
degree	NN	O
of	IN	O
sponsorship	NN	O
by	IN	O
the	DT	O
Chinese	JJ	O
government	NN	O
.	.	O
APT19	NNP	ACTOR
used	VBD	O
three	CD	O
different	JJ	O
techniques	NNS	O
to	TO	O
attempt	VB	O
to	TO	O
compromise	VB	O
targets	NNS	O
.	.	O
In	IN	O
early	JJ	O
May	NNP	O
,	,	O
the	DT	O
phishing	NN	TECHNIQUE
lures	VBZ	O
leveraged	JJ	O
RTF	NNP	O
attachments	NNS	O
that	WDT	O
exploited	VBD	O
the	DT	O
Microsoft	NNP	APP
Windows	NNP	APP
vulnerability	NN	O
described	VBN	O
in	IN	O
CVE	NNP	O
2017	CD	O
-	:	O
0199	CD	O
.	.	O
Toward	IN	O
the	DT	O
end	NN	O
of	IN	O
May	NNP	O
,	,	O
APT19	NNP	ACTOR
switched	VBD	O
to	TO	O
using	VBG	O
macro	JJ	O
-	:	O
enabled	VBN	O
Microsoft	NNP	O
Excel	NNP	O
(	(	O
XLSM	NNP	O
)	)	O
documents	NNS	O
.	.	O
In	IN	O
the	DT	O
most	RBS	O
recent	JJ	O
versions	NNS	O
,	,	O
APT19	NNP	ACTOR
added	VBD	O
an	DT	O
application	NN	O
whitelisting	VBG	O
bypass	NN	O
to	TO	O
the	DT	O
XLSM	NN	O
documents	NNS	O
.	.	O
At	IN	O
least	JJS	O
one	CD	O
observed	VBD	O
phishing	NN	TECHNIQUE
lure	NN	O
delivered	VBD	O
a	DT	O
Cobalt	NNP	TOOL
Strike	NNP	TOOL
payload	NN	O
.	.	O
As	IN	O
of	IN	O
the	DT	O
writing	NN	O
of	IN	O
this	DT	O
blog	NN	O
post	NN	O
,	,	O
FireEye	NNP	O
had	VBD	O
not	RB	O
observed	VBN	O
post	NN	O
-	:	O
exploitation	NN	O
activity	NN	O
by	IN	O
the	DT	O
threat	NN	O
actors	NNS	O
,	,	O
so	IN	O
we	PRP	O
can	MD	O
not	RB	O
assess	VB	O
the	DT	O
goal	NN	O
of	IN	O
the	DT	O
campaign	NN	O
.	.	O
We	PRP	O
have	VBP	O
previously	RB	O
observed	VBN	O
APT19	NNP	ACTOR
steal	JJ	O
data	NNS	O
from	IN	O
law	NN	INDUSTRY
and	CC	INDUSTRY
investment	NN	INDUSTRY
firms	NNS	INDUSTRY
for	IN	O
competitive	JJ	EFFECT
economic	JJ	EFFECT
purposes	NNS	EFFECT
.	.	O
This	DT	O
purpose	NN	O
of	IN	O
this	DT	O
blog	NN	O
post	NN	O
is	VBZ	O
to	TO	O
inform	VB	O
law	NN	O
firms	NNS	O
and	CC	O
investment	NN	O
firms	NNS	O
of	IN	O
this	DT	O
phishing	NN	TECHNIQUE
campaign	NN	O
and	CC	O
provide	VB	O
technical	JJ	O
indicators	NNS	O
that	IN	O
their	PRP$	O
IT	NNP	O
personnel	NNS	O
can	MD	O
use	VB	O
for	IN	O
proactive	JJ	O
hunting	NN	O
and	CC	O
detection	NN	O
.	.	O
APT19	NNP	ACTOR
phishing	VBG	TECHNIQUE
emails	RB	TECHNIQUE
from	IN	O
this	DT	O
campaign	NN	O
originated	VBD	O
from	IN	O
sender	NN	O
email	NN	O
accounts	NNS	O
from	IN	O
the	DT	O
"	NN	O
@cloudsend[.]net"domain	NN	O
and	CC	O
used	VBD	O
a	DT	O
variety	NN	O
of	IN	O
subjects	NNS	O
and	CC	O
attachment	JJ	O
names	NNS	O
.	.	O
Refer	NN	O
to	TO	O
the	DT	O
Indicators	NNS	O
of	IN	O
Compromise	NNP	O
section	NN	O
for	IN	O
more	JJR	O
details	NNS	O
.	.	O
APT19	NNP	ACTOR
leveraged	VBD	O
Rich	NNP	O
Text	NNP	O
Format	NNP	O
(	(	O
RTF	NNP	O
)	)	O
and	CC	O
macro	$	O
-	:	O
enabled	VBN	O
Microsoft	NNP	O
Excel	NNP	O
(	(	O
XLSM	NNP	O
)	)	O
files	VBZ	O
to	TO	O
deliver	VB	O
their	PRP$	O
initial	JJ	O
exploits	NNS	O
.	.	O
The	DT	O
following	JJ	O
sections	NNS	O
describe	VBP	O
the	DT	O
two	CD	O
methods	NNS	O
in	IN	O
further	JJ	O
detail	NN	O
.	.	O
Through	IN	O
the	DT	O
exploitation	NN	O
of	IN	O
the	DT	O
HTA	NNP	O
handler	NN	O
vulnerability	NN	O
described	VBN	O
in	IN	O
CVE-2017	NNP	O
-	:	O
1099	CD	O
,	,	O
the	DT	O
observed	JJ	O
RTF	NNP	O
attachments	NNS	O
download	NN	O
hxxp://tk	SYM	O
-	:	O
in	IN	O
-	:	O
f156.2bunny[.]com	NN	O
/	JJ	O
Agreement.doc	NNP	O
.	.	O
Unfortunately	RB	O
,	,	O
this	DT	O
file	NN	O
was	VBD	O
no	RB	O
longer	RB	O
hosted	VBN	O
at	IN	O
tk	SYM	O
-	:	O
in	IN	O
-	:	O
f156.2bunny[.]com	NN	O
for	IN	O
further	JJ	O
analysis	NN	O
.	.	O
Figure	NN	O
1	CD	O
is	VBZ	O
a	DT	O
screenshot	NN	O
of	IN	O
a	DT	O
packet	NN	O
capture	NN	O
showing	VBG	O
one	CD	O
of	IN	O
the	DT	O
RTF	NNP	O
files	NNS	O
reaching	VBG	O
out	RP	O
to	TO	O
hxxp://tk	VB	O
-	:	O
in	IN	O
-	:	O
f156.2bunny[.]com	NN	O
/	JJ	O
Agreement.doc	NNP	O
.	.	O
